Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
1960,West Betuwe,36,51198.0,70.3
668,West Maas en Waal,19,19320.0,98.3
1969,Westerkwartier,20,63375.0,31.6
1701,Westerveld,6,19460.0,30.8
293,Westervoort,5,14973.0,33.4
1950,Westerwolde,4,25796.0,15.5
1783,Westland,61,110357.0,55.3
98,Weststellingwerf,3,25916.0,11.6
614,Westvoorne,12,14728.0,81.5
189,Wierden,9,24440.0,36.8
296,Wijchen,43,41124.0,104.6
1696,Wijdemeren,5,24360.0,20.5
352,Wijk bij Duurstede,11,23910.0,46.0
294,Winterswijk,4,28865.0,13.9
873,Woensdrecht,6,21883.0,27.4
632,Woerden,44,52294.0,84.1
880,Wormerland,13,16299.0,79.8
351,Woudenberg,8,13362.0,59.9
479,Zaanstad,75,156711.0,47.9
297,Zaltbommel,16,28901.0,55.4
473,Zandvoort,10,17116.0,58.4
50,Zeewolde,9,22656.0,39.7
355,Zeist,47,64932.0,72.4
299,Zevenaar,21,43740.0,48.0
637,Zoetermeer,28,125283.0,22.3
638,Zoeterwoude,3,8611.0,34.8
1892,Zuidplas,17,43894.0,38.7
879,Zundert,25,21821.0,114.6
301,Zutphen,16,47942.0,33.4
1896,Zwartewaterland,45,22690.0,198.3
642,Zwijndrecht,18,44741.0,40.2
193,Zwolle,92,128831.0,71.4
